f1,f2,f3,f4,f5,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
1.0,0.0,0.0,0.0,0.0,3.0,195.0,0.0,0.0,195.0
0.0,0.0,0.0,1.0,0.0,2.0,32.0,0.0,0.0,32.0
0.0,1.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,48.0
0.0,0.0,1.0,0.0,0.0,2.0,136.0,-3.4,0.0,132.6
1.0,0.0,0.0,0.0,0.0,4.0,272.0,Afghanistan,0.0,272.0
1.0,0.0,0.0,0.0,0.0,3.0,144.0,-4.8,0.0,139.2
0.0,0.0,1.0,0.0,0.0,1.0,88.0,0.0,0.0,88.0
1.0,0.0,0.0,0.0,0.0,1.0,88.0,0.0,0.0,88.0
0.0,0.0,0.0,0.0,1.0,4.0,120.0,-5.99,0.0,114.01
0.0,0.0,1.0,0.0,0.0,7.0,879.0,0.0,0.0,879.0
0.0,1.0,0.0,0.0,0.0,2.0,370.0,-18.5,0.0,351.5
0.0,1.0,0.0,0.0,0.0,4.0,460.0,0.0,0.0,460.0
0.0,0.0,0.0,1.0,0.0,18.0,912.0,jόɇʧ,-48.0,818.4
0.0,1.0,0.0,0.0,0.0,1.0,145.0,0.0,0.0,145.0
0.0,1.0,0.0,0.0,0.0,2.0,350.0,0.0,0.0,350.0
1.0,0.0,0.0,0.0,0.0,2.0,136.0,0.0,0.0,136.0
0.0,1.0,0.0,0.0,0.0,5.0,875.0,-17.5,0.0,857.5
0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,14.0
1.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,0.0,38.0
0.0,0.0,0.0,1.0,0.0,2.0,80.0,,0.0,80.0
1.0,0.0,0.0,0.0,0.0,2.0,80.0,0.0,0.0,80.0
0.0,0.0,0.0,0.0,1.0,10.0,136.0,-9.6,-12.0,114.4
0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-ř106.25,-106.25
0.0,0.0,0.0,1.0,0.0,1.0,62.0,0.0,0.0,62.0
1.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,0.0,38.0
0.0,0.0,0.0,0.0,1.0,Some college,39.0,0.0,0.0,39.0
1.0,0.0,0.0,0.0,0.0,4.0,960.0,-ô72.0,0.0,888.0
0.0,1.0,0.0,0.0,0.0,1.0,68.0,-13.6,0.0,54.4
0.0,1.0,0.0,0.0,0.0,1.0,195.0,-19.5,0.0,175.5
0.0,1.0,0.0,0.0,0.0,1.0,185.0,0.0,0.0,185.0
0.0,0.0,1.0,0.0,0.0,2.0,72.0,0.0,0.0,72.0
1.0,0.0,0.0,0.0,0.0,34.0,14935.0,-594.0,-1609.0,12732.0
0.0,1.0,0.0,0.0,0.0,1.0,88.0,0.0,0.0,88.0
1.0,0.0,0.0,0.0,0.0,7.0,476.0,-20.4,0.0,455.6
0.0,0.0,0.0,0.0,1.0,1.0,88.0,0.0,-44.0,44.0
0.0,1.0,0.0,0.0,0.0,3.0,114.0,-11.6,-28.0,74.4
0.0,1.0,0.0,0.0,0.0,1.0,145.0,0.0,0.0,145.0
0.0,1.0,0.0,0.0,0.0,4.0,152.0,-3.8,0.0,148.2
0.0,0.0,0.0,0.0,1.0,3.0,102.0,-3.41,0.0,98.59
1.0,0.0,0.0,0.0,0.0,8.0,176.0,-4.4,0.0,171.6
0.0,0.0,1.0,0.0,0.0,3.0,264.0,0.0,0.0,264.0
0.0,1.0,0.0,0.0,0.0,2.0,96.0,0.0,0.0,96.0
1.0,0.0,0.0,0.0,0.0,8.0,288.0,-14.4,0.0,273.6
1.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,48.0
0.0,1.0,0.0,0.0,0.0,6.0,348.0,0.0,0.0,348.0
1.0,0.0,0.0,0.0,0.0,0.6,288.0,0.0,0.0,288.0
0.0,1.0,0.0,0.0,0.0,1.0,165.0,-1÷6.5,0.0,148.5
0.0,1.0,0.0,0.0,0.0,1.0,110.0,0.0,..,110.0
1.0,0.0,0.0,0.0,0.0,2.0,90.0,0.0,0.0,90.0
0.0,1.0,0.0,0.0,0.0,4.0,182.0,0.0,0.0,182.0
0.0,0.0,0.0,1.0,0.0,1100,28.0,0.0,0.0,28.0
0.0,1.0,0.0,0.0,0.0,2.0,144.0,0.0,0.0,144.0
0.0,0.0,0.0,1.0,0.0,1.0,72.0,-7.2,0.0,64.8
0.0,0.0,1.0,0.0,0.0,2.0,130.0,0.0,0.0,130.0
0.0,0.0,1.0,0.0,0.0,1.0,114.0,-7.6,-68.4,38.0
0.0,0.0,0.0,0.0,1.0,1.0,18.0,0.0,0.0,18.0
0.0,0.0,0.0,0.0,1.0,45.0,437.0,-10.25,-8.54,418.21
1.0,0.0,0.0,0.0,0.0,1.0,42.0,-4.19,0.0,37.81
0.0,1.0,0.0,0.0,0.0,1.0,88.0,0.0,0.0,88.0
0.0,1.0,0.0,0.0,0.0,1.0,155.0,0.0,0.0,155.0
0.0,0.0,0.0,0.0,1.0,Some college,56.0,0.0,0.0,56.0
0.0,1.0,0.0,0.0,0.0,1.0,175.0,-17.49,0.0,157.51
1.0,0.0,0.0,0.0,0.0,6.0,536.0,-6.8,-88.0,441.2
0.0,0.0,1.0,0.0,0.0,19.0,1748.0,-46.85,,1701.15
0.0,0.0,0.0,0.0,1.0,7.0,126.0,-5.4,0.0,120.6
0.0,0.0,0.0,1.0,0.0,2.0,48.0,0.0,0.0,48.0
0.0,0.0,0.0,0.0,1.0,16.0,175.5,{ŧͮ̒ƭ,0.0,168.38
0.0,0.0,1.0,0.0,0.0,8.0,544.0,-13.6,0.0,530.4
0.0,0.0,1.0,0.0,0.0,1.0,64.0,0.0,,64.0
0.0,1.0,0.0,0.0,0.0,1.0,44.0,0.0,0.0,44.0
1.0,0.0,0.0,0.0,0.0,2.0,90.0,0.0,0.0,90.0
0.0,1.0,0.0,0.0,0.0,7.0,770.0,-33.0,0.0,737.0
0.0,0.0,0.0,1.0,0.0,4.0,96.0,-4.ø81,0.0,91.19
0.0,1.0,0.0,0.0,0.0,3.0,144.0,-4.8,0.0,139.2
0.0,0.0,0.0,1.0,0.0,1.0,24.0,0.0,0.0,24.0
1.0,0.0,0.0,0.0,0.0,1.0,45.0,-4.5,0.0,40.5
1.0,0.0,0.0,0.0,0.0,22.0,506.0,-10.99,-19.8,475.21
0.0,1.0,0.0,0.0,0.0,1.0,165.0,Afghanistan,0.0,165.0
1.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,18.0
0.0,1.0,0.0,0.0,0.0,1.0,68.0,-13.6,0.0,54.4
0.0,0.0,0.0,0.0,1.0,1.0,28.0,0.0,0.0,28.0
0.0,1.0,0.0,0.0,0.0,1.0,185.0,-18.5,0.0,166.5
0.0,1.0,0.0,0.0,0.0,17.0,2695.0,-52.5,-110.0,2532.5
1.0,0.0,0.0,0.0,0.0,3.0,126.0,-8.4,0.0,117.6
0.0,1.0,0.0,0.0,0.0,17.0,,-63.25,0.0,2971.75
1.0,0.0,0.0,0.0,0.0,2.0,136.0,0.0,0.0,136.0
0.0,0.0,0.0,1.0,0.0,2.0,56.0,0.0,0.0,56.0
1.0,0.0,0.0,0.0,0.0,3.0,72.0,0.0,0.0,72.0
1.0,0.0,0.0,0.0,0.0,10.0,2250.0,-180.0,0.0,2070.0
1.0,0.0,0.0,0.0,0.0,Some college,195.0,-19.5,0.0,175.5
0.0,1.0,0.0,0.0,0.0,1.0,240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0,1.0,2.0,Æ44.0,0.0,00..00,44.0
0.0,0.0,0.0,0.0,1.0,0.0,32.0,-3.21,-28.79,0.0
1.0,0.0,0.0,0.0,0.0,4.0,152.0,0.0,0.0,152.0
0.0,0.0,0.0,0.0,1.0,3.0,84.0,-2.8,0.0,81.2
0.0,0.0,0.0,1.0,0.0,1.0,34.0,0.0,0.0,34.0
0.0,1.0,0.0,0.0,0.0,1.0,116.0,-11.6,0.0,104.4
1.0,0.0,0.0,0.0,0.0,4.0,172.0,0.0,0.0,172.0
0.0,0.0,1.0,0.0,0.0,5.0,204.0,é̑Ǽ,0.0,191.9
